ppt_id,condition,nom_sfx,acc_sfx,trial_idx,task,agent,patient,verb,orientation,sentence,sentence_type,sentence_accepted,button_pressed,rt
3ydsc547xw2txdc,Production,vu,jo,358,judge,cowboy,fairy,yell,R,zevu zijo zuv,case_marking,1,f,3206
3ydsc547xw2txdc,Production,vu,jo,359,judge,cowboy,fairy,pat,R,zevu zijo gix,case_marking,1,f,1425
3ydsc547xw2txdc,Production,vu,jo,360,judge,cowboy,nun,yell,L,zejo wuvu zuv,word_order,0,j,3880
3ydsc547xw2txdc,Production,vu,jo,363,judge,cowboy,fairy,pat,L,zejo zivu gix,word_order,1,f,2083
3ydsc547xw2txdc,Production,vu,jo,364,judge,chef,fairy,yell,L,kijo zivu zuv,word_order,1,f,1771
3ydsc547xw2txdc,Production,vu,jo,366,judge,cowboy,fairy,yell,R,zejo zivu zuv,word_order,1,f,2917
3ydsc547xw2txdc,Production,vu,jo,368,judge,footballer,wizard,pat,L,bujo ruvu gix,word_order,1,f,1357
3ydsc547xw2txdc,Production,vu,jo,369,judge,cowboy,nun,yell,L,zevu wujo zuv,case_marking,1,f,1542
3ydsc547xw2txdc,Production,vu,jo,370,judge,cowboy,nun,pat,L,zevu wujo gix,case_marking,0,j,1549
3ydsc547xw2txdc,Production,vu,jo,371,judge,chef,fairy,pat,R,kijo zivu gix,word_order,1,f,3898
3ydsc547xw2txdc,Production,vu,jo,372,judge,footballer,fairy,yell,L,bujo zivu zuv,word_order,1,f,2085
3ydsc547xw2txdc,Production,vu,jo,373,judge,footballer,nun,pat,R,bujo wuvu gix,word_order,1,f,2051
3ydsc547xw2txdc,Production,vu,jo,374,judge,footballer,nun,pat,L,buvu wujo gix,case_marking,1,f,1772
3ydsc547xw2txdc,Production,vu,jo,377,judge,chef,nun,pat,R,kijo wuvu gix,word_order,1,f,1249
3ydsc547xw2txdc,Production,vu,jo,378,judge,footballer,wizard,pat,R,buvu rujo gix,case_marking,1,f,2981
3ydsc547xw2txdc,Production,vu,jo,379,judge,chef,wizard,pat,L,kivu rujo gix,case_marking,0,j,1444
3ydsc547xw2txdc,Production,vu,jo,380,judge,chef,wizard,yell,R,kivu rujo zuv,case_marking,0,j,2981
3ydsc547xw2txdc,Production,vu,jo,381,judge,cowboy,wizard,yell,L,zevu rujo zuv,case_marking,0,j,1425
3ydsc547xw2txdc,Production,vu,jo,382,judge,chef,nun,yell,R,kivu wujo zuv,case_marking,0,j,2130
3ydsc547xw2txdc,Production,vu,jo,384,judge,chef,fairy,yell,L,kivu zijo zuv,case_marking,0,j,3091
3ydsc547xw2txdc,Production,vu,jo,385,judge,footballer,wizard,yell,R,buvu rujo zuv,case_marking,0,j,1822
3ydsc547xw2txdc,Production,vu,jo,386,judge,chef,nun,pat,R,kivu wujo gix,case_marking,1,f,1924
3ydsc547xw2txdc,Production,vu,jo,387,judge,footballer,wizard,yell,L,bujo ruvu zuv,word_order,1,f,1283
3ydsc547xw2txdc,Production,vu,jo,389,judge,cowboy,nun,pat,L,zejo wuvu gix,word_order,0,j,1180
3ydsc547xw2txdc,Production,vu,jo,390,judge,cowboy,wizard,pat,R,zejo ruvu gix,word_order,0,j,831
3ydsc547xw2txdc,Production,vu,jo,391,judge,footballer,nun,yell,L,bujo wuvu zuv,word_order,0,j,2099
3ydsc547xw2txdc,Production,vu,jo,393,judge,chef,nun,yell,L,kijo wuvu zuv,word_order,1,f,1033
3ydsc547xw2txdc,Production,vu,jo,394,judge,footballer,fairy,pat,R,bujo zivu gix,word_order,1,f,816
8dzkaje8kv37ppt,Production,vu,jo,337,judge,nun,princess,admire,L,wuvu lojo vof,case_marking,0,j,7493
8dzkaje8kv37ppt,Production,vu,jo,338,judge,footballer,princess,admire,R,zevu lojo vof,case_marking,0,j,7084
8dzkaje8kv37ppt,Production,vu,jo,340,judge,chef,cowboy,admire,R,bujo zivu vof,word_order,1,f,9334
8dzkaje8kv37ppt,Production,vu,jo,341,judge,footballer,princess,kick,L,zevu lojo zux,case_marking,0,j,10002
8dzkaje8kv37ppt,Production,vu,jo,342,judge,nun,princess,kick,L,wuvu lojo zux,case_marking,0,j,3752
8dzkaje8kv37ppt,Production,vu,jo,343,judge,chef,princess,kick,L,buvu lojo zux,case_marking,0,j,1385
8dzkaje8kv37ppt,Production,vu,jo,344,judge,nun,pirate,admire,R,wuvu kijo vof,case_marking,0,j,2156
8dzkaje8kv37ppt,Production,vu,jo,345,judge,nun,princess,kick,L,wujo lovu zux,word_order,1,f,3455
8dzkaje8kv37ppt,Production,vu,jo,346,judge,nun,cowboy,kick,L,wuvu zijo zux,case_marking,0,j,5093
8dzkaje8kv37ppt,Production,vu,jo,349,judge,chef,princess,admire,R,buvu lojo vof,case_marking,0,j,2585
8dzkaje8kv37ppt,Production,vu,jo,351,judge,nun,cowboy,admire,L,wujo zivu vof,word_order,1,f,4077
8dzkaje8kv37ppt,Production,vu,jo,353,judge,nun,cowboy,kick,L,wujo zivu zux,word_order,1,f,4563
8dzkaje8kv37ppt,Production,vu,jo,355,judge,chef,pirate,admire,L,bujo kivu vof,word_order,1,f,7710
8dzkaje8kv37ppt,Production,vu,jo,356,judge,nun,cowboy,admire,L,wuvu zijo vof,case_marking,0,j,4027
8dzkaje8kv37ppt,Production,vu,jo,360,judge,footballer,cowboy,kick,R,zevu zijo zux,case_marking,0,j,1260
8dzkaje8kv37ppt,Production,vu,jo,361,judge,nun,pirate,kick,R,wujo kivu zux,word_order,1,f,2380
8dzkaje8kv37ppt,Production,vu,jo,362,judge,footballer,pirate,kick,L,zejo kivu zux,word_order,1,f,5968
8dzkaje8kv37ppt,Production,vu,jo,363,judge,nun,pirate,kick,L,wuvu kijo zux,case_marking,0,j,3329
8dzkaje8kv37ppt,Production,vu,jo,364,judge,footballer,princess,kick,R,zejo lovu zux,word_order,1,f,2814
8dzkaje8kv37ppt,Production,vu,jo,366,judge,chef,pirate,kick,L,bujo kivu zux,word_order,1,f,3206
8dzkaje8kv37ppt,Production,vu,jo,370,judge,chef,pirate,admire,L,buvu kijo vof,case_marking,0,j,4141
8dzkaje8kv37ppt,Production,vu,jo,372,judge,footballer,cowboy,admire,R,zevu zijo vof,case_marking,0,j,4917
8dzkaje8kv37ppt,Production,vu,jo,373,judge,footballer,pirate,admire,R,zejo kivu vof,word_order,1,f,2320
8dzkaje8kv37ppt,Production,vu,jo,374,judge,chef,princess,kick,L,bujo lovu zux,word_order,1,f,2403
8dzkaje8kv37ppt,Production,vu,jo,375,judge,footballer,cowboy,kick,R,zejo zivu zux,word_order,1,f,3124
8dzkaje8kv37ppt,Production,vu,jo,376,judge,footballer,pirate,admire,R,zevu kijo vof,case_marking,0,j,1595
8dzkaje8kv37ppt,Production,vu,jo,377,judge,footballer,pirate,kick,L,zevu kijo zux,case_marking,0,j,1354
8dzkaje8kv37ppt,Production,vu,jo,379,judge,chef,princess,admire,R,bujo lovu vof,word_order,1,f,3439
8dzkaje8kv37ppt,Production,vu,jo,380,judge,nun,princess,admire,L,wujo lovu vof,word_order,1,f,2141
8dzkaje8kv37ppt,Production,vu,jo,381,judge,footballer,princess,admire,R,zejo lovu vof,word_order,1,f,2540
8dzkaje8kv37ppt,Production,vu,jo,383,judge,chef,cowboy,kick,R,buvu zijo zux,case_marking,0,j,3098
